name,old_name,len[sec],number of bit,bit for sec,number of farme,frame for sec,url,path_mp4,path_wav,path_sound_np,path_video_np
beastie_boys_intergalactic,Beastie Boys - Intergalactic,274.64999389648443,8999731.0,32768.0,6583.0,24.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Beastie Boys - Intergalactic.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\beastie_boys_intergalactic.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\beastie_boys_intergalactic.npy,D:\github\video_to_sound\video_to_sound\data\np_video\beastie_boys_intergalactic.npy
britney_spears_lucky,Britney Spears - Lucky (Official HD Video),247.97000122070312,8125481.0,32768.0,7430.0,30.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Britney Spears - Lucky (Official HD Video).mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\britney_spears_lucky.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\britney_spears_lucky.npy,D:\github\video_to_sound\video_to_sound\data\np_video\britney_spears_lucky.npy
jamie_xx_gosh,Jamie xx - Gosh,322.6400146484375,10572268.0,32768.0,8064.0,25.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Jamie xx - Gosh.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\jamie_xx_gosh.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\jamie_xx_gosh.npy,D:\github\video_to_sound\video_to_sound\data\np_video\jamie_xx_gosh.npy
kanye_west_fade_explicit,Kanye West - Fade (Explicit),224.93002319335938,7370507.0,32768.0,5391.0,24.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Kanye West - Fade (Explicit).mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\kanye_west_fade_explicit.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\kanye_west_fade_explicit.npy,D:\github\video_to_sound\video_to_sound\data\np_video\kanye_west_fade_explicit.npy
kanye_west_homecoming,Kanye West - Homecoming,204.31002807617188,6694831.0,32768.0,4897.0,24.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Kanye West - Homecoming.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\kanye_west_homecoming.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\kanye_west_homecoming.npy,D:\github\video_to_sound\video_to_sound\data\np_video\kanye_west_homecoming.npy
pearl_jam_sirens,Pearl Jam - Sirens,351.6000061035156,11521229.0,32768.0,8428.0,24.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Pearl Jam - Sirens.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\pearl_jam_sirens.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\pearl_jam_sirens.npy,D:\github\video_to_sound\video_to_sound\data\np_video\pearl_jam_sirens.npy
radiohead_high_and_dry,Radiohead - High and Dry,259.3900146484375,8499692.0,32768.0,6483.0,25.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Radiohead - High and Dry.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\radiohead_high_and_dry.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\radiohead_high_and_dry.npy,D:\github\video_to_sound\video_to_sound\data\np_video\radiohead_high_and_dry.npy
radiohead_lotus_flower,Radiohead - Lotus Flower,307.8700256347656,10088285.0,32768.0,7695.0,25.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Radiohead - Lotus Flower.mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\radiohead_lotus_flower.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\radiohead_lotus_flower.npy,D:\github\video_to_sound\video_to_sound\data\np_video\radiohead_lotus_flower.npy
rem_the_great_beyond,REM - The Great Beyond (Official Music Video),257.07000732421875,8423670.0,32768.0,6162.0,24.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\REM - The Great Beyond (Official Music Video).mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\rem_the_great_beyond.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\rem_the_great_beyond.npy,D:\github\video_to_sound\video_to_sound\data\np_video\rem_the_great_beyond.npy
suicidal_tendencies_you_cant_bring_me_down,Suicidal Tendencies - You Cant Bring Me Down (Official Video),345.82000732421875,11331830.0,32768.0,10362.0,30.0,,D:\github\video_to_sound\video_to_sound\data\raw_video\Suicidal Tendencies - You Cant Bring Me Down (Official Video).mp4,D:\github\video_to_sound\video_to_sound\data\wav_sound\suicidal_tendencies_you_cant_bring_me_down.wav,D:\github\video_to_sound\video_to_sound\data\np_sound\suicidal_tendencies_you_cant_bring_me_down.npy,D:\github\video_to_sound\video_to_sound\data\np_video\suicidal_tendencies_you_cant_bring_me_down.npy
